Symbol,Sector,Sub-Industry,Headquarter,Founded
DLTR,Consumer Staples,Consumer Staples Merchandise Retail,"Chesapeake, Virginia",1986
D,Utilities,Electric Utilities,"Richmond, Virginia",1983
DPZ,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",1960
DOV,Industrials,Industrial Machinery & Supplies & Components,"Downers Grove, Illinois",1955
DOW,Materials,Commodity Chemicals,"Midland, Michigan",2019
DTE,Utilities,Multi-Utilities,"Detroit, Michigan",1995
DUK,Utilities,Electric Utilities,"Charlotte, North Carolina",1904
DD,Materials,Specialty Chemicals,"Wilmington, Delaware",2017
DXC,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",2017
EMN,Materials,Diversified Chemicals,"Kingsport, Tennessee",1920
ETN,Industrials,Electrical Components & Equipment,"Dublin, Ireland",1911
EBAY,Consumer Discretionary,Broadline Retail,"San Jose, California",1995
ECL,Materials,Specialty Chemicals,"Saint Paul, Minnesota",1923
EIX,Utilities,Electric Utilities,"Rosemead, California",1886
EW,Health Care,Health Care Equipment,"Irvine, California",1958
EA,Communication Services,Interactive Home Entertainment,"Redwood City, California",1982
ELV,Health Care,Managed Health Care,"Indianapolis, Indiana",2014
LLY,Health Care,Pharmaceuticals,"Indianapolis, Indiana",1876
EMR,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",1890
ENPH,Information Technology,Electronic Components,"Fremont, California",2006
ETR,Utilities,Electric Utilities,"New Orleans, Louisiana",1913
EOG,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1999
EPAM,Information Technology,IT Consulting & Other Services,"Newtown, Pennsylvania",1993
EQT,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",1888
EFX,Industrials,Research & Consulting Services,"Atlanta, Georgia",1899
EQIX,Real Estate,Data Center REITs,"Redwood City, California",1998
EQR,Real Estate,Residential REITs,"Chicago, Illinois",1969
ESS,Real Estate,Residential REITs,"San Mateo, California",1971
EL,Consumer Staples,Personal Care Products,"New York City, New York",1946
ETSY,Consumer Discretionary,Broadline Retail,"New York City, New York",2005
EG,Financials,Reinsurance,"Hamilton, Bermuda",1973
EVRG,Utilities,Electric Utilities,"Kansas City, Missouri",1909
ES,Utilities,Multi-Utilities,"Hartford, Connecticut",1966
EXC,Utilities,Multi-Utilities,"Chicago, Illinois",2000
EXPE,Consumer Discretionary,"Hotels, Restaurants & Leisure","Seattle, Washington",1996
EXPD,Industrials,Air Freight & Logistics,"Seattle, Washington",1979
EXR,Real Estate,Self-Storage REITs,"Salt Lake City, Utah",1977
XOM,Energy,Integrated Oil & Gas,"Irving, Texas",1999
FFIV,Information Technology,Communications Equipment,"Seattle, Washington",1996
FDS,Financials,Financial Exchanges & Data,"Norwalk, Connecticut",1978
FICO,Information Technology,Application Software,"Bozeman, Montana",1956
FAST,Industrials,Building Products,"Winona, Minnesota",1967
FRT,Real Estate,Retail REITs,"Rockville, Maryland",1962
FDX,Industrials,Air Freight & Logistics,"Memphis, Tennessee",1971
FITB,Financials,Regional Banks,"Cincinnati, Ohio",1858
FSLR,Information Technology,Semiconductors,"Tempe, Arizona",1999
FE,Utilities,Electric Utilities,"Akron, Ohio",1997
FIS,Financials,Transaction & Payment Processing Services,"Jacksonville, Florida",1968
FI,Financials,Transaction & Payment Processing Services,"Brookfield, Wisconsin",1984
FLT,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",2000
FMC,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",1883
F,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",1903
FTNT,Information Technology,Systems Software,"Sunnyvale, California",2000
FTV,Industrials,Industrial Machinery & Supplies & Components,"Everett, Washington",2016
FOXA,Communication Services,Movies & Entertainment,"New York City, New York",2019
FOX,Communication Services,Movies & Entertainment,"New York City, New York",2019
BEN,Financials,Asset Management & Custody Banks,"San Mateo, California",1947
